symbol	PD0049_F0	PD0053_F0	PD0054_F0	PD0055_F0	PD0056_F0	PD0057_F0	PD0063_F0	PD0064_F0	PD0073_F0	PD0041_F4	PD0042_F4	PD0043_F4	PD0044_F5	PD0046_F5	PD0047_F4	PD0048_F4	PD0049_F4	PD0050_F5	PD0051_F4	PD0052_F4	PD0053_F4	PD0054_F4	PD0055_F4	PD0056_F4	PD0057_F4	PD0060_F4	PD0062_F4	PD0063_F4	PD0064_F4	PD0068_F5	PD0069_F4	PD0070_F3	PD0072_F5	PD0073_F4	PD0074_F4	PD0075_F4	PD0076_F4	PD0077_F3	PD0081_F4	PD0082_F4	PD0084_F4	PD0085_F4	PD0086_F4	PD0087_F4	PD0090_F3	PD0092_F3	PD0093_F5	PD0097_F4	PD0099_F4	PD0100_F4	PD0101_F4	PD0105_F5
PRIM2	-0.10948203037084	-0.26281592676514	-0.14853400761689	0.84352473048882	0.055067451884024	-0.16536931822091	-0.4756510934994	0.50364472617935	-0.11749738672269	0.074177757285949	-0.37980698543511	1.849796474992	1.9047416337541	0.40310916040653	0.15645894847256	0.50748658527841	-0.1149657082365	-0.3296637539877	-0.18504778305765	0.11757917028783	-0.26076118954355	-0.041432867682167	0.53191190507266	-0.38364369722769	0.15139607565277	-0.11264454694096	0.097061203971295	0.52802473948386	0.094056431959514	-0.38239141744233	-0.19040948632277	-0.20159024504899	0.45995774596493	-0.30795147878803	1.2022261985873	0.07087075939028	0.40995286112012	0.84202750134505	1.4641648281184	-0.35573681704735	-0.17073704154126	0.23401441541403	0.37167926108937	0.65092556215085	0.47246965038526	0.1545886606469	0.1347109733898	1.0513814946082	0.53044934276822	0.25427938652057	0.22067607288353	-0.40911249530241
PYROXD2	0.013803920880631	0.24793167036095	-0.24578185839402	0.45327494022826	0.14433861013762	0.076465539839077	-0.21271507090985	0.21396359320604	1.8283026658648	1.0135136205073	0.047172457845355	1.8631135340181	0.13269127955109	0.19981369283606	-0.045978959616777	0.24083798009496	-0.30882599715174	0.081680864508986	-0.27040945766889	0.011294231005618	0.22783791755207	-0.031690445304197	0.25946900977298	0.78041424009199	0.81833379718357	0.2390961778551	-0.14345372515786	1.5415591770177	0.0083806325762759	-0.12546236450608	0.023408895922147	-0.27798466548728	0.56850308448063	0.99773939940831	1.0757286673228	0.78431545218221	0.17137314212603	-0.092978228354893	0.73504863364304	-0.14103562814074	-0.39232647226121	0.21420769842528	1.3125020719466	-0.1677478193438	-0.17701356474276	0.19129404759206	-0.25670293964088	0.59395023181649	-0.043989085775857	0.50511436177151	0.27478542167088	-0.84868141415595
RGS2	-1.929998000545	-2.2703519632321	-0.38629276727067	0.41962642398726	-2.2998842209086	-1.3334869903312	-2.1794819847266	-4.1698107905629	1.9564822369918	-3.6394152442076	-2.7958377262845	-3.4458526058577	-2.9408673428006	1.7714404949183	-3.1390387551165	-3.3128111640312	-3.8384114363041	-3.8877458701921	1.3274192583665	0.40193048232875	4.8865042730627	3.9614820102292	-4.3980716052022	-4.1284820692532	12.68433381407	-1.8381831224704	-3.3703451984752	3.3074340577513	15.071364562953	-1.6282808854339	-3.56137716044	-1.0011148782193	-1.5878790278468	-1.5253683092038	-1.7189347072126	7.6252484286663	-2.9528300517163	5.2727413658315	-2.9858297928783	-3.4250643420932	4.6147593220152	-2.0703013839883	-1.9191103805629	0.49186179756655	6.7731477954793	4.7800211355932	8.9405003475055	-3.1682722323144	-0.07598025804131	-1.3048752969769	-0.06575814489349	-0.11396423126604
RPUSD3	0.64035466776676	0.10438140067811	0.28967297497978	0.67631186887561	0.23038129993414	0.19597398319026	0.36384516928794	0.60636067131026	-0.31215195707572	0.27030875234238	0.36855141042114	1.258519054464	0.63983893961206	0.36855141042114	0.50750387996944	1.1010476039141	1.1708228370109	1.4664566436814	0.2962995205965	1.2024217074666	0.52765236101699	0.7883046197046	0.83720767274778	0.21883352573005	0.70702014877929	0.69221670226795	0.98963663462821	-0.15322149266122	0.50956950818622	0.63942557223339	1.1544415653002	1.0248115865555	0.26196624706388	1.3490230746242	3.6627832307839	0.60213039758253	1.6909450018737	0.69431447814142	1.5365198871322	0.85818561984771	0.91095521346382	1.5034951236887	2.0778765210704	3.8139025523842	0.98209085125567	2.8358702956955	0.69439877155767	0.32177904563789	1.0982601073822	1.2356965570754	0.88131686899418	0.12488656844703
SPINK13	-0.14687121250309	0.025975900155761	-0.1843126913104	-0.063189879697383	-0.0020785361760049	0.031621769684119	-0.10468513968588	-0.0030439667830376	45.914823772328	-0.039386198407446	0.022718144670316	-0.012493168739561	-0.29629343975785	0.23915867696834	0.24460764654744	0.10956214595519	0.044621933619587	0.014595578295299	0.05754822311839	-0.081080464819877	0.04665094916271	0.3215466712748	-0.10026061896061	0.0317787205258	0.4215044752609	-0.069967960889639	-0.10934163131608	0.48561096709066	-0.21118613445931	0.62705900509057	0.44500305032316	2.188773059061	0.18596291096767	0.019873479956783	0.047491247782473	-0.041025405267251	-0.042210389665295	1.7630728557899	-0.062062878786647	0.11601753000839	0.021411280386267	0.039866400723622	0.41102095727966	0.70736787192989	-0.21891116841051	-0.12134517403694	0.18825689885241	-0.15226517622123	-0.013745801099491	-0.0014302223979014	1.0139190509127	5.390589828897
TMEM95	0.10720125519004	0.25812637034242	0.34854108012305	0.043691223679601	-0.015035810341779	0.13286957509447	0.1466380680271	0.044956561014486	0.40027116068668	0.0072325822942739	0.2562115686514	0.16665092313508	0.0059627490260771	0.062950811950414	0.1406823191459	0.15130674534659	0.20039572133441	0.1133414188695	0.2908387811194	0.062641908718903	0.17449899404075	0.056253373842702	0.048087605846325	0.21432484487924	0.31756489163415	0.0068616910910379	0.40553155407898	0.25087572278243	0.054911314454125	0.079908028113234	0.15885926105073	0.13720632208358	0.28247300232812	0.13195931166376	0.023739063671338	0.26585366836594	0.12524562529965	0.04547223058836	0.12830992998155	-0.086358585903646	-0.10188979917691	-0.0035536858581443	0.203399598809	0.0046290525393602	-0.027733152986617	0.17035801815812	0.12438254587372	0.2726256999543	0.02676351639104	0.15289235386871	0.13001236103594	-0.6901459232439
TRIAP1	0.094263859918613	-0.1665199029913	-0.51854999547027	-0.15194673596007	0.034534961467837	-0.19945286850527	-0.51017915670991	-0.42797321708229	-0.083949514668731	-0.062690983176392	-0.27661403355711	0.18839874211646	-0.28999826734368	0.11311442192712	0.31971975163267	0.31325319103886	-0.27701956420291	-0.032471609386528	-0.3220858687637	0.083403231684797	-0.14667087966103	-0.34190361260921	-0.040261814756955	-0.024055608362361	-0.026662092843107	0.16477066117271	0.11833377463537	-0.046222122179857	0.17461577334814	0.57318747165324	0.29385380362285	-0.32403723277015	0.042095600659818	0.7043133907209	0.087875511151975	0.80051851975744	-0.070556723883004	-0.01756374594226	0.41544265957005	-0.26554720670849	-0.04481049711257	-0.22446279988984	0.2738057746866	0.18119134144536	1.1791363734357	0.3313615956119	0.2030579483752	-0.35716266812108	-0.057251380982498	-0.20214827369168	0.022289477625989	-0.69704754891119
TTN	0.10767084767225	0.0087153594001334	0.099145932785067	-0.17671214751536	0.16866366849836	0.13081082975972	0.062714493517923	-0.006701203595158	0.19891761182699	5.7714062701392	0.1787101919624	0.32845676561362	0.054428475249413	0.51997371665067	0.26987167805045	5.7844187588612	-0.085298781296755	0.18370465390443	1.1954388568655	0.19142187632048	0.0024519952352871	0.22742261708885	-0.097209973131212	0.4005172040975	-0.034560338156747	-0.058518340508888	0.49352335214447	-0.046270698668742	-0.0086679695817563	11.583941119065	-0.099288338304051	-0.060235291923642	1.9913988955044	0.68719810384071	1.9009178044551	5.5552159252452	0.18146281451377	0.34945505839984	0.0053084268657661	-0.13270589135114	-0.066655107406692	-0.030189674944797	-0.052760330036151	0.11045368639673	0.13662213164715	0.11155887833788	0.62100426520169	1.8176509591595	-0.10384284423503	0.088883705975862	0.77776313390985	1.0368902316327
VWA5B2	0.026002832089489	0.057183064186479	0.057079325502518	0.29453421247268	0.1959238023476	0.15393924151399	-0.097244913316979	0.14520073769879	0.7068363859637	-0.024984078738096	0.18742621247389	0.14143796067076	0.17424004221539	0.03099508480696	0.23322620583006	0.18558746855432	0.12884167245492	0.49051736097486	0.16811601417175	0.26834877554398	0.14796160511209	0.21007873000032	0.068870944761677	0.1050921543079	0.67161708603222	0.22485322949964	0.17522462302061	0.41871558930815	0.31563275729761	1.020465123312	0.32783894657966	-0.056088555836753	0.074451189410344	0.44959174763285	0.12227898801224	0.30637748362737	0.35003531163104	0.0025461474058788	0.24290039845222	0.10889733339395	0.19964690376158	0.081603906435535	0.39022204193124	0.13371123519386	-0.024984078738096	0.84042680456385	0.16713827456642	0.070171881955494	0.29469167619718	0.14596910982474	0.21659568161255	-0.62836890206543
XIRP2	0.17199202593103	0.010673438194974	0.1052520868577	0.031914783811401	0.17118859209372	0.043546244486625	-0.0045072139982566	10.501358671634	0.21532554790284	0.11532348355719	0.23010145784327	0.073112063952954	0.094329028935364	0.11579134258516	0.071772018886153	0.12101639126041	-0.034271281831706	0.24465527266506	0.11544965778725	0.68075825788684	0.062100025614496	0.042525223871761	0.049385020752013	0.016469029298404	0.1485583215019	0.0041591226103865	0.016979954847778	0.062665347858259	0.055371504508163	0.2497214616374	0.11057264117959	0.0094774227617362	0.074326290711358	0.13446459475175	0.1200714192412	0.093137106601267	0.2433689717696	0.65027012674726	0.11940359155806	0.014788663800074	0.018359566539615	0.13913588863733	0.19579719393733	0.19460278015158	0.24204565502103	0.27095088387807	0.080942815133932	0.13557102442886	0.071716956622987	0.11268942595886	0.3258021627583	0.57218742514088
